Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.11804E-4,6.520083689,0.072250185,0.273987207,0,0
5.29114E-4,6.780027103,0.074511765,0.268656716,0,0
5.34859E-4,7.046143008,0.075259836,0.263326226,0,0
5.42674E-4,7.261492104,0.07627565,0.259061834,0,0
5.77398E-4,7.543064515,0.080762121,0.253731343,0,0
6.13983E-4,7.780498876,0.085442167,0.249466951,0,0
6.42777E-4,8.03415154,0.089092159,0.245202559,0,0
6.71957E-4,8.296475707,0.092761482,0.240938166,0,0
6.77449E-4,8.566361312,0.093448783,0.236673774,0,0
6.83125E-4,8.771051041,0.094158018,0.23347548,0,0
7.07062E-4,9.0492739,0.097136884,0.229211087,0,0
7.14899E-4,9.262883224,0.098107893,0.226012793,0,0
7.49274E-4,9.55755216,0.102342475,0.221748401,0,0
7.56549E-4,9.783994584,0.10323356,0.218550107,0,0
7.71598E-4,10.014149881,0.105071334,0.215351812,0,0
7.98072E-4,10.250041445,0.108286026,0.212153518,0,0
8.25515E-4,10.57487503,0.111594059,0.207889126,0,0
8.55662E-4,10.828187768,0.115199878,0.204690832,0,0
8.65453E-4,11.000633031,0.116364598,0.202558635,0,0
8.81111E-4,11.264365603,0.118221054,0.199360341,0,0
9.00815E-4,11.532632345,0.120546142,0.196162047,0,0
9.39875E-4,11.812251963,0.125119051,0.192963753,0,0
9.49097E-4,12.001922054,0.126191791,0.190831557,0,0
9.58453E-4,12.2889599,0.127277471,0.187633262,0,0
9.62145E-4,12.577186299,0.12770514,0.184434968,0,0
9.66329E-4,12.77035398,0.128189327,0.182302772,0,0
9.85298E-4,13.064305213,0.130377504,0.179104478,0,0
9.91569E-4,13.262072651,0.131098538,0.176972281,0,0
1.00568E-3,13.561515947,0.132716952,0.173773987,0,0
1.07889E-3,13.771310857,0.141015959,0.171641791,0,0
1.13743E-3,14.111976916,0.147538239,0.168443497,0.071428571,0
1.14697E-3,14.340755774,0.148591141,0.166311301,0.071428571,0
1.16817E-3,14.572868196,0.150923409,0.164179104,0.071428571,0
1.1733E-3,14.807493752,0.151485635,0.162046908,0.071428571,0
1.17464E-3,15.042348435,0.151632751,0.159914712,0.071428571,0
1.18102E-3,15.278036191,0.152331297,0.157782516,0.071428571,0
1.19674E-3,15.517177783,0.154046325,0.15565032,0.071428571,0
1.20991E-3,15.758228059,0.155478034,0.153518124,0.071428571,0
1.22296E-3,16.001703392,0.156891707,0.151385928,0.071428571,0
1.24444E-3,16.25005796,0.159208655,0.149253731,0.071428571,0
1.29351E-3,16.508296489,0.164454403,0.147121535,0.071428571,0
1.32465E-3,16.771739531,0.167749429,0.144989339,0.071428571,0
1.34596E-3,17.04015482,0.169988634,0.142857143,0.071428571,0
1.37187E-3,17.314182325,0.172696361,0.140724947,0.071428571,0
1.39672E-3,17.591551119,0.175275521,0.138592751,0.071428571,0
1.40719E-3,17.872609976,0.176358058,0.136460554,0.071428571,0
1.41436E-3,18.014046303,0.177097977,0.135394456,0.071428571,0
1.44196E-3,18.300917411,0.179931746,0.13326226,0.071428571,0
1.45419E-3,18.591364126,0.181181592,0.131130064,0.071428571,0
1.49363E-3,18.887546469,0.185185343,0.128997868,0.071428571,0
1.51128E-3,19.038674117,0.186964072,0.12793177,0.071428571,0
1.52289E-3,19.343238165,0.188130241,0.125799574,0.071428571,0
1.55318E-3,19.652025439,0.191157333,0.123667377,0.071428571,0
1.61108E-3,19.813133629,0.196880349,0.122601279,0.071428571,0
1.67947E-3,20.144959624,0.203536816,0.120469083,0.071428571,0
1.69226E-3,20.314185678,0.204769307,0.119402985,0.142857143,0
1.72021E-3,20.656922836,0.207449454,0.117270789,0.142857143,0
1.74159E-3,20.831081829,0.209487893,0.116204691,0.142857143,0
1.74249E-3,21.005331087,0.209573715,0.115138593,0.142857143,0
1.74827E-3,21.354949093,0.210122223,0.113006397,0.142857143,0
1.76067E-3,21.531015973,0.211297894,0.111940299,0.142857143,0
1.84504E-3,21.892311362,0.219203472,0.109808102,0.142857143,0
1.91237E-3,22.083548145,0.225399803,0.108742004,0.142857143,0
1.92117E-3,22.275664758,0.226202235,0.107675906,0.142857143,0
1.93976E-3,22.663511072,0.227892332,0.10554371,0.142857143,0
1.97191E-3,22.860701745,0.230797686,0.104477612,0.142857143,0
1.98306E-3,23.059008069,0.231800793,0.103411514,0.142857143,0
2.00205E-3,23.259213558,0.233502372,0.102345416,0.142857143,0
2.01067E-3,23.660592514,0.234271931,0.10021322,0.142857143,0
2.02421E-3,23.86301312,0.235477532,0.099147122,0.142857143,0
2.05892E-3,24.068905442,0.23855277,0.098081023,0.142857143,0
2.06097E-3,24.275002603,0.238733442,0.097014925,0.142857143,0
