x,y,species logistic values
571.0,571.0,0.0039695273
572.0,572.0,0.10828602
573.0,573.0,0.0030313819
574.0,574.0,0.012657129
575.0,575.0,2.9519657E-4
576.0,576.0,2.4471633E-6
577.0,577.0,4.2112233E-4
578.0,578.0,8.809909E-6
579.0,579.0,1.0488797E-4
580.0,580.0,1.3588426E-4
581.0,581.0,0.046958897
582.0,582.0,0.2861916
583.0,583.0,0.14859115
584.0,584.0,6.9007697E-4
585.0,585.0,0.001820913
586.0,586.0,0.0017634591
587.0,587.0,3.7046586E-4
588.0,588.0,0.033586036
589.0,589.0,0.294794
590.0,590.0,0.0046724766
591.0,591.0,1.9290885E-6
592.0,592.0,1.01363E-7
593.0,593.0,0.09422117
594.0,594.0,0.007896691
595.0,595.0,0.17322718
596.0,596.0,0.06485742
597.0,597.0,0.0031857644
598.0,598.0,1.322502E-4
599.0,599.0,0.08909216
600.0,600.0,0.075259835
601.0,601.0,9.3420886E-4
602.0,602.0,2.0568186E-4
603.0,603.0,0.0028325014
604.0,604.0,0.046151157
605.0,605.0,3.7456257E-4
606.0,606.0,5.466487E-4
607.0,607.0,0.06872381
608.0,608.0,0.0038179525
609.0,609.0,2.1301892E-4
610.0,610.0,0.0012953024
611.0,611.0,3.933047E-4
612.0,612.0,0.0035304804
613.0,613.0,2.3476481E-5
614.0,614.0,0.4883272
615.0,615.0,0.47051257
616.0,616.0,0.595928
617.0,617.0,4.928817E-4
618.0,618.0,0.0015765986
619.0,619.0,0.008738978
620.0,620.0,0.0046540154
621.0,621.0,0.009335951
622.0,622.0,2.7081827E-8
623.0,623.0,0.07823824
624.0,624.0,0.10316266
625.0,625.0,0.060471322
626.0,626.0,2.813207E-4
627.0,627.0,7.5032193E-7
628.0,628.0,0.0064003402
629.0,629.0,0.0024881382
630.0,630.0,8.80929E-4
631.0,631.0,7.2453094E-10
632.0,632.0,1.5187239E-4
633.0,633.0,0.030525167
634.0,634.0,6.865081E-4
635.0,635.0,0.08757767
636.0,636.0,0.04635579
637.0,637.0,0.040177498
638.0,638.0,0.20620084
