"","x","y"
"110",2099.32429783895,2343.03297380352
"111",2241.64408016279,2448.1358469628
"112",2142.88800971893,2456.35359983173
"113",2061.78989118292,2371.118911062
"114",2154.76592794332,2438.46510807966
"115",2082.77551729092,2375.30166689147
"116",2082.77551729092,2375.30166689147
"117",2180.43095347926,2415.26078614219
"118",2214.85517581394,2394.98902725405
"119",2082.77551729092,2375.30166689147
"120",2084.27126222523,2423.81726967771
"121",2171.09219557646,2387.86198993064
"122",2171.09219557646,2387.86198993064
"123",2205.29815816172,2434.0045601708
"124",2121.18341888496,2391.78882926377
"125",2092.90349076419,2313.59236258321
"126",2064.41734716605,2353.65253353835
"127",2103.85539614238,2392.43553063947
"128",2181.93064541414,2450.58806580345
"129",2121.18341888496,2391.78882926377
"130",2121.18341888496,2391.78882926377
"131",2137.86054492286,2389.62983219586
"132",2129.04678706955,2418.62309514804
"133",2149.83646431901,2499.91240433674
"134",2151.24521472968,2459.11451175794
"135",2073.13335257637,2440.42361875923
"136",2137.36666408698,2378.66956883523
"137",2196.54472866143,2438.24008537634
"138",2095.19444083955,2294.89904432126
"139",2144.73920819713,2478.16881637235
"140",2149.83646431901,2499.91240433674
"141",2209.89021591439,2463.62696556752
"142",2098.280595609,2322.37542380094
"143",2196.54472866143,2438.24008537634
"144",2121.18341888496,2391.78882926377
"145",2209.89021591439,2463.62696556752
"146",2209.89021591439,2463.62696556752
"147",2156.56791059985,2483.22919524496
"148",2239.87897088162,2436.51634442304
"149",2193.0104194115,2400.92606757753
"150",2129.26106358268,2399.86441311253
"151",2137.36666408698,2378.66956883523
"152",2114.59134141519,2337.08529820095
"153",2084.27126222523,2423.81726967771
"154",2158.99826998501,2370.34869127311
"155",2114.59134141519,2337.08529820095
"156",2205.29815816172,2434.0045601708
"157",2327.89172595004,2508.74794337171
"158",2192.96382761948,2424.18319238228
"159",2222.69859377335,2403.05921865969
"160",2114.59134141519,2337.08529820095
"161",2180.61834470917,2387.94982127792
"162",2225.11105210292,2444.48427220297
"163",2182.44787446426,2401.27633164279
"164",2205.38192220912,2410.28278571538
"165",2175.72202781144,2559.77065134683
"166",2032.96928772813,2378.86321778789
"167",2194.85024275268,2459.29872774772
"168",2047.2017707779,2343.87498961136
"169",2150.99836356923,2351.85915495003
"170",2141.30795114409,2447.41017939743
"171",2144.73920819713,2478.16881637235
"172",2117.48194909619,2443.87851883379
"173",2180.61834470917,2387.94982127792
"174",2205.29815816172,2434.0045601708
"175",2129.04678706955,2418.62309514804
"176",2091.14822470213,2320.63532402646
"177",2205.78273289694,2628.75007078002
"178",2205.78273289694,2628.75007078002
"179",2105.41861107934,2385.7065632194
"180",2095.19444083955,2294.89904432126
"181",2197.34308224594,2479.68770046516
"182",2121.18341888496,2391.78882926377
"183",2030.87947307491,2365.20874150909
"184",2225.11105210292,2444.48427220297
"185",2217.72002344682,2418.67196864245
"186",2091.14822470213,2320.63532402646
"187",2193.50686530821,2451.11526263406
"188",2222.69859377335,2403.05921865969
"189",2087.13131800684,2285.98800695881
"190",2241.64408016279,2448.1358469628
"191",2133.61859488922,2502.94175686348
"192",2071.33533831504,2331.246636764
"193",2173.92614753227,2353.99812701546
"194",2180.61834470917,2387.94982127792
"195",2205.29815816172,2434.0045601708
"196",2157.50654904758,2449.75014723598
"197",2213.29836294006,2408.16499898775
"198",2158.99826998501,2370.34869127311
"199",2081.3233544458,2286.41239557377
"200",2113.33766203274,2342.55209516005
"201",2082.77551729092,2375.30166689147
"202",2094.66946400821,2304.79658527049
"203",2094.66946400821,2304.79658527049
"204",2094.66946400821,2304.79658527049
"205",2094.66946400821,2304.79658527049
"206",2094.66946400821,2304.79658527049
"207",2094.66946400821,2304.79658527049
"208",2094.66946400821,2304.79658527049
"209",2094.66946400821,2304.79658527049
"210",2094.66946400821,2304.79658527049
"211",2094.66946400821,2304.79658527049
"212",2094.66946400821,2304.79658527049
"213",2094.66946400821,2304.79658527049
"214",2094.66946400821,2304.79658527049
"215",2094.66946400821,2304.79658527049
"216",2094.66946400821,2304.79658527049
"217",2094.66946400821,2304.79658527049
